Client,SKU,Nama Produk,MODEL,WARNA,SIZE,Kategori,HPP Bahan,Upah Cutting,Upah Jahit,Upah Lubang-Kancing,Upah Buang Benang,Upah QC,Upah Steam,Upah Packing,oprasional Rumah,Oprasional Listrik,Oprasional Sehari-hari,Uang makan,Variasi,Karet,Tali,Stoper,Mata itik,Sleting Topi,Sleting Saku,Sleting Badan,Kain Keras,Kain saku,Kancing,Puring,Benang,Harga Jual
Elyasr Kids,ely147,Abudzar Grey x Black - S,Abudzar,Grey x Black,S,Koko ,15200,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,46105
Elyasr Kids,ely148,Abudzar Grey x Black - M,Abudzar,Grey x Black,M,Koko ,15200,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,46105
Elyasr Kids,ely149,Abudzar Grey x Black - L,Abudzar,Grey x Black,L,Koko ,16150,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,47209
Elyasr Kids,ely150,Abudzar Grey x Black - XL,Abudzar,Grey x Black,XL,Koko ,16150,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,47209
Elyasr Kids,ely151,Abudzar Grey x Black - XXL,Abudzar,Grey x Black,XXL,Koko ,18240,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,49640
Elyasr Kids,ely152,Abudzar Grey x Black - XXXL,Abudzar,Grey x Black,XXXL,Koko ,18240,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,49640
Elyasr Kids,ely153,Abudzar White X Grey - S,Abudzar,White X Grey,S,Koko ,15200,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,46105
Elyasr Kids,ely154,Abudzar White X Grey - M,Abudzar,White X Grey,M,Koko ,15200,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,46105
Elyasr Kids,ely155,Abudzar White X Grey - L,Abudzar,White X Grey,L,Koko ,16150,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,47209
Elyasr Kids,ely156,Abudzar White X Grey - XL,Abudzar,White X Grey,XL,Koko ,16150,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,47209
Elyasr Kids,ely157,Abudzar White X Grey - XXL,Abudzar,White X Grey,XXL,Koko ,18240,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,49640
Elyasr Kids,ely158,Abudzar White X Grey - XXXL,Abudzar,White X Grey,XXXL,Koko ,18240,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,49640
Elyasr Kids,ely159,Abudzar Navy x SkyBlue - S,Abudzar,Navy x SkyBlue,S,Koko ,15200,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,46105
Elyasr Kids,ely160,Abudzar Navy x SkyBlue - M,Abudzar,Navy x SkyBlue,M,Koko ,15200,2000,12000,1050,350,250,400,150,1500,1000,1000,1500,0,0,0,0,0,0,0,0,750,0,1500,,1500,46105
